STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
41,67,32108,1400000US41067032108,41067032108,321.08,Washington,OR,Oregon,"Census Tract 321.08, Washington County, Oregon",4177,210,3746,0.7203,0.1943,0.7203,0.2945,0,0.392,0.7709,0.7768,1.9397,0.529,0,0.5742,0,0.7908,0,0,1.365,0.7067,0.434,0.2343,0.3384,1.0067,0.0874,0.4818,0.7666,0,1.2484,0.598,0.9093,0.9093,0.9093,6.4691,0.621,0.3488,0.3488,0.3488,0.0687,0.1204,0.5241,0.2047,0.0923,0.1896,0.0684,1.2682,0.0812,0.3626,0.5165,0.0565,0.2881,1.2237,0.065,0.6075,0.5072,1.1147,0.7027,3.9554,0.0993,0,0,0,0,0,0,0,0,8.62,0.66,37.84,0,28.09,0,13.03,0,0,95.86,36.75,12,31.79,100,0,100,18.4,8.3313,3.1,5,16.3,14.5582,3.2,4.3,13.4,22.3,5.5,0.4,2,0.3,24.7,9.8,5.9,12.1,7.5,0.1213,0.5157,0.3289,0.118,0.2812
41,67,32109,1400000US41067032109,41067032109,321.09,Washington,OR,Oregon,"Census Tract 321.09, Washington County, Oregon",3251,159,1343,0.5958,0.1335,0.5958,0.2077,0,0.3854,0.6329,0.724,1.7423,0.4447,0,0.8577,0,0.8721,0,0,1.7298,0.8352,0.3853,0.0582,0.4171,0.8606,0.0445,0.7891,0.3134,0,1.1025,0.5301,0.9093,0.9093,0.9093,6.3445,0.5934,0.2563,0.2563,0.2563,0.0294,0.0152,0.1858,0.0494,0.0054,0.0996,0.0322,0.417,0.0061,0.1564,0.8387,0.0172,0.3491,1.3614,0.0963,0,0,0,0,2.0347,0.0024,0,0,0,0,0,0,0,0,8.59,0.51,36.42,0,100,0,37.51,0,0,100,9.04,10.58,100,18.15,0,100,12.8,5.2599,0.7,2.6,7.4,6.9201,2.1,2.8,9.4,27.8,3.2,0.6,0,0,22.5,9.5,5.7,10.8,6.6,0.0655,0.4269,0.2923,0.0615,0.1483
41,67,32110,1400000US41067032110,41067032110,321.1,Washington,OR,Oregon,"Census Tract 321.10, Washington County, Oregon",3818,188,9856,1.2466,0.4959,0.8466,0.3925,0,0.383,0.6441,0.7326,1.7597,0.4523,0,0.7618,0,0.8507,0,0,1.6125,0.7921,0.727,0.0844,0.3168,1.1282,0.142,0.5773,0.6037,0,1.181,0.5658,0.9093,0.9093,0.9093,6.5907,0.6463,0.4911,0.4911,0.4911,0.0623,0.4023,0.0484,0.8421,0.2935,0.3283,0.1157,2.0926,0.2105,0.0617,0.078,0.2772,0.3491,0.766,0.02,0.5113,0.9844,1.4957,0.876,4.8454,0.2003,0,1,0,1,0,2,0.4,0,8.58,0.52,36.64,0,80.85,0,29.42,0,0,15.4,14.06,12.33,53.02,74.63,0,100,29,7.9098,7.9,1.3,62,20.6122,4.8,5.9,6.6,12.4,9.5,0.6,0.8,35.8,21.4,11.4,4.7,15.7,6.4,0.0487,0.848,0.1372,0.0536,0.6859
41,67,32200,1400000US41067032200,41067032200,322,Washington,OR,Oregon,"Census Tract 322, Washington County, Oregon",8128,435,4729,0.5356,0.1075,0.5356,0.1692,0,0.3148,0.3242,0.4158,1.0548,0.1797,0,0.3123,0,0,0,0,0.3123,0.232,0.7365,0.1355,0.8096,1.6816,0.6006,0.3452,0.3097,0.8887,1.5436,0.7722,0.9093,0.9093,0.9093,5.5016,0.4013,0.2303,0.2303,0.2303,0.0898,0.0728,0.3739,0.1002,0.0775,0.2935,0.2427,1.2504,0.0789,0.236,0.8766,0.0368,0.4599,1.6093,0.1969,0.6985,0.5072,1.2057,0.7348,4.2957,0.1343,0,0,0,0,0,0,0,0,8.23,0.28,29.17,0,0.58,0,0,0,0,13.64,23.45,5.54,10.4,17.61,3.29,100,11.4,9.576,2.2,3.9,10.9,13.9094,4.4,9.5,11.1,28.9,4.7,1.1,4.9,0.3,24.8,9.9,6.3,12.5,7.8,0.1248,0.5445,0.4075,0.1444,0.3268
41,67,32300,1400000US41067032300,41067032300,323,Washington,OR,Oregon,"Census Tract 323, Washington County, Oregon",6280,463,5511,0.9521,0.3258,0.9521,0.4788,0,0.3031,0.4149,0.4313,1.1493,0.2069,0,0.4551,0.9341,0,0,0,1.3892,0.7145,0.6723,0.1133,0.6484,1.434,0.3808,0.3722,0,0.929,1.3012,0.6252,0.9093,0.9093,0.9093,6.183,0.5581,0.6583,0.6583,0.6583,0.2382,0.4833,0.4585,0.327,0.6186,0.3944,0.0547,2.5747,0.3033,0.1564,0.8091,0.2701,0.6298,1.8654,0.3759,0.5741,0.5072,1.0813,0.6924,6.1797,0.394,0,0,0,0,0,0,0,0,8.17,0.34,29.49,0,8.92,5.81,0,0,0,27.82,19.63,7.33,14.15,0,15.45,100,46.7,17.2397,9.5,4.5,22.1,30.1471,5.6,3.8,9.4,27.1,9.4,2.5,1.5,0.3,25,9.8,5.4,13.5,8.2,0.1311,0.5157,0.2406,0.1841,0.4444
41,67,32404,1400000US41067032404,41067032404,324.04,Washington,OR,Oregon,"Census Tract 324.04, Washington County, Oregon",7337,574,2359,1.0705,0.3962,1.0705,0.5727,0,0.252,0.5746,0.4518,1.2784,0.2506,0,0.7883,0.9644,0,0,0,1.7527,0.8434,0.3853,0.4919,0.4226,1.2998,0.2601,0.7891,0,0.9675,1.7566,0.9183,0.9093,0.9093,0.9093,6.9968,0.7277,0.591,0.591,0.591,0.2848,0.5802,0.5111,0.3065,0.5708,0.3861,0.2031,2.8426,0.3581,0.4093,0.4069,0.3508,0.6129,1.7799,0.3082,0,0.6383,0.6383,0.3566,5.8518,0.3428,0,0,0,0,0,0,0,0,7.86,0.46,29.95,0,88.26,30.72,0,0,0,100,60.86,10.5,100,0,50.04,100,38.5,19.5129,11.7,4.9,21.1,28.481,5.5,8.4,14.2,20.8,10.5,2.3,0,0.7,25.6,10.3,6,14,8.5,0.1541,0.6494,0.3472,0.219,0.5033
41,67,32406,1400000US41067032406,41067032406,324.06,Washington,OR,Oregon,"Census Tract 324.06, Washington County, Oregon",9135,541,7191,0.8505,0.2654,0.8505,0.3954,0,0.279,0.5868,0.4536,1.3194,0.2659,0,0.6232,0.9699,0,0,0,1.5931,0.7854,0.3853,0.1459,0.3005,0.8317,0.0381,0.7866,0,0,0.7866,0.367,0.9093,0.9093,0.9093,5.4401,0.387,0.6145,0.6145,0.6145,0.3182,0.358,0.4307,0.4264,0.5752,0.2409,0.2137,2.5631,0.301,0.3748,0.7243,0.6239,0.6129,2.3359,0.769,0.4558,0.6383,1.0941,0.6958,6.6076,0.4635,0,0,0,0,0,0,0,0,8.02,0.47,30,0,40.13,38.78,0,0,0,100,25.02,12.53,99.96,0,0,100,41.1,21.1449,7.1,4.3,27.2,28.6254,3.8,8.7,13.6,25.4,14.4,2.3,0.5,0.7,24.1,10,5.5,13.6,8,0.1024,0.5713,0.257,0.1638,0.4553
41,67,32407,1400000US41067032407,41067032407,324.07,Washington,OR,Oregon,"Census Tract 324.07, Washington County, Oregon",5701,325,1737,0.7714,0.2216,0.7714,0.3333,0,0.2707,0.5984,0.4615,1.3306,0.2701,0,0.7175,0.9491,0,0,0,1.6666,0.8121,0.3853,0.049,0.6186,1.0529,0.1064,0.6999,0,0.8674,1.5673,0.8896,0.9093,0.9093,0.9093,6.5267,0.6333,0.5638,0.5638,0.5638,0.2052,0.2025,0.3739,0.522,0.2058,0.1632,0.0078,1.6804,0.1417,0.1787,0.6249,0.114,0.6593,1.5769,0.1795,0,0.5072,0.5072,0.2492,4.3283,0.1381,0,0,0,0,0,0,0,0,7.97,0.48,30.18,0,67.48,14.58,0,0,0,100,7.35,7.67,85.32,0,0.92,100,35.7,15.6554,4.5,3.9,33,18.2397,2.9,1.1,9.9,23.8,6.9,2.9,0,0.3,21.6,9.7,4.8,12.9,7.3,0.0515,0.4859,0.1505,0.1023,0.3736
41,67,32408,1400000US41067032408,41067032408,324.08,Washington,OR,Oregon,"Census Tract 324.08, Washington County, Oregon",8439,464,5523,0.5786,0.1259,0.5786,0.1962,0,0.2679,0.5868,0.4318,1.2865,0.2538,0,0.8284,0,0,0,0,0.8284,0.5029,0.3853,0.025,0.3724,0.7827,0.0283,0.7891,0,0.9577,1.7468,0.9167,0.9093,0.9093,0.9093,5.5537,0.4131,0.6705,0.6705,0.6705,0.2184,0.3105,0.4859,0.4835,0.0526,0.3195,0.0975,1.9679,0.1886,0.0667,0.8222,0.0823,0.5088,1.48,0.1362,0,0.4452,0.4452,0.1995,4.5636,0.1655,0,0,0,0,0,0,0,0,7.95,0.47,29.5,0,97.4,0,0,0,0,100,3.45,11.42,100,0,36.64,100,48.4,16.3052,6.3,4.7,30.5,12.6412,4.7,5.3,6.8,27.4,6.2,1.4,0,0.2,18.6,9.1,4.2,11.9,6,0.0234,0.3108,0.0785,0.0404,0.2588
41,67,32409,1400000US41067032409,41067032409,324.09,Washington,OR,Oregon,"Census Tract 324.09, Washington County, Oregon",5366,681,1915,1.7501,0.7309,1.3501,0.757,0,0.235,0.5501,0.441,1.2261,0.2321,0,0.6735,0,0,0,0,0.6735,0.4164,0.3853,0.3043,0.0949,0.7845,0.0287,0.7891,0,0.9698,1.7589,0.9188,0.9093,0.9093,0.9093,5.3523,0.3671,0.8274,0.8274,0.8274,0.9508,0.9405,0.9056,0.918,0.9462,0.8187,0.7904,6.2702,0.9799,0.0333,0.9904,0.5515,0.9582,2.5334,0.8793,0.4769,0.6383,1.1152,0.7031,10.7462,0.983,0,1,0,1,0,2,0.4,0,7.76,0.44,29.7,0,54.22,0,0,0,0,100,44.16,15.17,100,0,53.27,100,74.9,66.6291,32,11.2,74.3,50.5952,14.1,26.7,5.2,37.8,13.3,20.4,0.6,0.7,25.9,12,3.5,21.6,12.2,0.1668,0.9042,0.0302,0.6662,0.9711
